,Unnamed: 0,Nodo,Conections,DiBC,DiCC,DiDC,BC,CC,DC,state RW,state_RW_UL,state_RWM,state_RWM_UL,MaxOcupation,mean_state_RW,mean_state_RW_lim,mean_state_RWM,mean_state_RWM_lim
0,0,0,"(0, 3)",0.0225918585954505,0.0202539298669891,0.0024875621890547,0.0039381542797707,0.02210086497581,0.0024875621890547,15,7,0,7,7,6.492167597159738,6.511904124979937,1.828385228095583,7.495303319486546
1,1,1,"(3, 300)",0.0196965839314263,0.0198574086575667,0.0016583747927031,0.0050350584923338,0.0225365798964737,0.0016583747927031,9,1,0,1,14,3.274486422028294,3.2949547910759187,0.39440019309678975,7.37869091725609
2,2,2,"(300, 301)",0.0196965839314263,0.0194761151125609,0.0016583747927031,0.0065029610266883,0.0229950806543873,0.0016583747927031,7,3,2,2,17,12.740473738414007,12.735594671232144,2.572371067664333,17.04427229519853
3,3,3,"(301, 302)",0.0196965839314263,0.019109188572515,0.0016583747927031,0.0079824240160292,0.0234762803916606,0.0016583747927031,12,2,1,0,18,4.054366090302998,4.066449093146434,0.4043768605680264,1.7958534485984805
4,4,4,"(302, 303)",0.0196965839314263,0.018755832037325,0.0016583747927031,0.0094728969625002,0.0239818644607063,0.0016583747927031,13,4,1,2,30,16.748712667353246,16.742710395377454,0.37846970794110546,167.55162606189887
5,5,5,"(303, 304)",0.0196965839314263,0.0184153063873322,0.0016583747927031,0.0109743798661012,0.0245136898591377,0.0016583747927031,6,3,0,0,30,7.704645238224294,7.70381467016211,0.4093651943036447,6.725122562778339
6,6,6,"(304, 6)",0.0196965839314263,0.0180869252227121,0.0016583747927031,0.0124875608491527,0.0250738076427294,0.0016583747927031,6,2,1,3,39,52.71445606807957,52.73880477235033,0.3931128811650173,52.692751019797164
7,7,7,"(6, 7)",0.0604194498756955,0.023255365510326,0.0033167495854063,0.022142925329394,0.0256666737608274,0.0033167495854063,23,16,9073,33,33,9.861835329828175,9.816435717725108,0.4112157052055676,16.287975749410577
8,8,8,"(7, 406)",0.050341554429001,0.0227401289738658,0.0016583747927031,0.0193048156045082,0.0260205402606369,0.0016583747927031,11,5,1,3,30,6.495474009431406,6.503022845219625,2.4891785340735377,6.088207776655065
9,9,9,"(406, 407)",0.050341554429001,0.0222472283200206,0.0016583747927031,0.020213306665556,0.0263975835047935,0.0016583747927031,13,3,1,1,36,21.021518781505772,20.82686854635921,0.41572129696677124,183.16844429474943
10,10,10,"(407, 408)",0.050341554429001,0.0217752419471327,0.0016583747927031,0.0211495978683569,0.026797617989512,0.0016583747927031,7,11,0,1,50,5.8081196812835385,5.807019421111765,2.2465202349344278,5.16881853224056
11,11,11,"(408, 409)",0.050341554429001,0.0213228663873123,0.0016583747927031,0.0221135668800541,0.0272222473026048,0.0016583747927031,12,7,0,0,54,7.502249444414331,7.502220319940078,0.363343792742779,1.5375921559821863
12,12,12,"(409, 410)",0.050341554429001,0.0208889042851699,0.0016583747927031,0.0231078187351471,0.0276745146633622,0.0016583747927031,15,6,0,2,52,16.30446094639276,16.430581563319244,0.36261967978115694,31.813891695670073
13,13,13,"(420, 419)",0.0634711183593326,0.0245022348638764,0.0016583747927031,0.050558937677827,0.02834312573443,0.0016583747927031,11,5,0,2,48,15.644262561656458,15.636723556792038,0.37846970794110546,12.900116013622245
14,14,14,"(419, 418)",0.0634711183593326,0.0239309455303105,0.0016583747927031,0.0495651672601183,0.0278689282248001,0.0016583747927031,5,4,0,3,46,6.358339205376986,6.350543042105826,0.3775042239922761,0.9635118446165937
15,15,15,"(418, 417)",0.0634711183593326,0.0233856893542757,0.0016583747927031,0.0486017987418892,0.0274240494815353,0.0016583747927031,4,2,0,1,46,7.243319421106835,7.262425766411642,0.38200981575347975,1.7158788967478762
16,16,16,"(417, 416)",0.0634711183593326,0.0228647265143615,0.0016583747927031,0.0476661271470653,0.0270052398226521,0.0016583747927031,7,9,0,0,32,10.114802970350697,10.125247445294526,0.37388365918416605,19.468507915122938
17,17,17,"(416, 5)",0.0634711183593326,0.0223664688427299,0.0024875621890547,0.047291414232993,0.0266107678729037,0.0024875621890547,14,4,0,2,30,24.940864003469024,24.976673265207854,4.86885509695068,26.988061824033533
18,18,18,"(5, 4)",0.0366563907066788,0.0239413971770591,0.0033167495854063,0.0332807457353843,0.0260357073465598,0.0033167495854063,4,14,2,0,20,12.928993441378937,12.948263870311914,0.35722906106685975,1.1930316979154971
19,19,19,"(4, 305)",0.0251579240725831,0.0237616739567324,0.0024875621890547,0.0303066437723605,0.0255578867060843,0.0024875621890547,6,26,0,26,26,9.522250528483928,9.54020651650527,0.37171132029930004,5.393099060663897
