,0
799,36
800,42
801,18
802,14
803,54
804,48
805,46
806,34
807,38
808,32
809,42
810,42
811,46
812,28
813,17
814,16
815,21
816,14
817,13
818,17
819,16
820,13
821,14
822,20
823,18
824,21
825,10
826,9
827,9
828,11
829,10
830,12
831,52
832,56
833,56
834,64
835,48
836,38
837,56
838,54
839,56
840,56
841,15
842,13
843,15
844,23
845,20
846,15
847,16
848,16
849,19
850,23
851,23
852,22
853,23
854,23
855,23
856,21
857,32
858,36
859,36
860,32
861,14
862,18
863,20
864,8
865,24
866,34
867,30
868,40
869,40
870,36
871,34
872,34
873,40
874,38
875,34
876,36
877,60
878,46
879,44
880,46
881,46
882,34
883,40
884,40
885,40
886,44
887,38
888,34
889,46
890,50
891,46
892,46
893,54
894,8
895,21
896,19
897,17
898,21
899,20
900,19
901,19
902,19
903,16
904,7
905,8
906,15
907,21
908,20
909,21
910,19
911,18
912,17
913,8
914,17
915,17
916,16
917,8
918,20
919,21
920,21
921,20
922,21
923,8
924,15
925,17
926,15
927,8
928,21
929,19
930,22
931,21
932,20
933,18
934,9
935,20
936,19
937,17
938,21
939,10
940,9
941,21
942,20
943,18
944,20
945,8
946,19
947,17
948,21
949,5
950,14
951,14
952,5
953,19
954,21
955,19
956,16
957,7
958,7
959,17
960,19
961,19
962,19
963,4
964,15
965,14
966,5
967,19
968,17
969,19
970,19
971,15
972,17
973,19
974,7
975,7
976,19
977,17
978,16
979,18
980,9
981,9
982,15
983,12
984,20
985,21
986,8
987,8
988,22
989,19
990,14
991,15
992,9
993,34
994,28
995,18
996,28
997,36
998,38
999,38
1000,8
1001,30
1002,32
1003,8
1004,50
1005,56
1006,40
1007,20
1008,32
1009,32
1010,16
1011,42
1012,56
1013,52
1014,10
1015,28
1016,28
1017,12
1018,34
1019,38
1020,36
1021,28
1022,18
1023,28
1024,38
1025,44
1026,19
1027,14
1028,19
1029,18
1030,8
1031,9
1032,17
1033,16
1034,20
1035,17
1036,10
1037,44
1038,12
1039,36
1040,50
1041,50
1042,42
1043,48
1044,14
1045,46
1046,50
1047,48
1048,48
1049,16
1050,46
1051,44
1052,50
1053,48
1054,38
1055,12
1056,42
1057,10
1058,42
1059,46
1060,14
1061,32
1062,38
1063,10
1064,42
1065,44
1066,30
1067,20
1068,28
1069,26
1070,22
1071,32
1072,46
1073,40
1074,14
1075,36
1076,32
1077,14
1078,44
1079,44
1080,9
1081,9
1082,9
1083,9
1084,9
1085,10
1086,7
1087,8
1088,7
1089,8
1090,12
1091,10
1092,34
1093,24
1094,22
1095,34
1096,22
1097,34
1098,40
1099,38
