Nodo,conecciones,Betweenness_nx,Betweenness_streets,Closeness_streets,Degree_streets
1068,"(224, 849)",0.01895,0.02051,0.01867,0.00166
1069,"(850, 225)",0.01576,0.01691,0.0175,0.00166
1070,"(225, 222)",0.02157,0.02379,0.0186,0.00332
1071,"(222, 852)",0.02053,0.02178,0.01826,0.00166
1072,"(852, 853)",0.02053,0.02178,0.01793,0.00166
1073,"(853, 220)",0.02053,0.02178,0.01762,0.00166
1074,"(220, 221)",0.02575,0.02833,0.01956,0.00332
1075,"(221, 855)",0.02488,0.02652,0.01918,0.00166
1076,"(855, 216)",0.02488,0.02652,0.01883,0.00166
1077,"(216, 217)",0.0337,0.03608,0.0205,0.00332
1078,"(217, 857)",0.03313,0.03455,0.02009,0.00166
1079,"(857, 859)",0.03313,0.03455,0.0197,0.00166
1080,"(203, 204)",0.0036,0.00447,0.02654,0.00166
1081,"(205, 202)",0.00034,0.00044,0.02542,0.00166
1082,"(207, 208)",0.00359,0.00445,0.02542,0.00166
1083,"(209, 206)",0.00105,0.00106,0.0244,0.00166
1084,"(211, 212)",0.01071,0.01031,0.02263,0.00166
1085,"(213, 210)",0.00093,0.00099,0.02184,0.00166
1086,"(215, 216)",0.00883,0.00872,0.02075,0.00166
1087,"(217, 214)",0.00058,0.0007,0.02009,0.00166
1088,"(219, 220)",0.00522,0.00573,0.01977,0.00166
1089,"(221, 218)",0.00087,0.00098,0.01918,0.00166
1090,"(224, 225)",0.00581,0.00604,0.01867,0.00166
1091,"(222, 223)",0.00103,0.00118,0.01826,0.00166
1092,"(849, 227)",0.01895,0.02051,0.01833,0.00249
1093,"(227, 228)",0.00371,0.00408,0.01843,0.00249
1094,"(229, 226)",0.01886,0.02083,0.01813,0.00249
1095,"(226, 850)",0.01576,0.01691,0.01781,0.00166
1096,"(226, 227)",0.00311,0.00308,0.01781,0.00249
1097,"(227, 846)",0.01834,0.01952,0.01843,0.00249
1098,"(846, 847)",0.01834,0.01952,0.0181,0.00166
1099,"(847, 848)",0.01834,0.01952,0.01778,0.00166
1100,"(848, 233)",0.01834,0.01952,0.01748,0.00166
1101,"(233, 230)",0.02023,0.02269,0.01823,0.00332
1102,"(232, 843)",0.01515,0.01592,0.01787,0.00166
1103,"(843, 844)",0.01515,0.01592,0.01756,0.00166
1104,"(844, 845)",0.01515,0.01592,0.01726,0.00166
1105,"(845, 228)",0.01515,0.01592,0.01697,0.00166
1106,"(228, 229)",0.01886,0.02083,0.01847,0.00249
1107,"(242, 838)",0.01594,0.01696,0.01859,0.00166
1108,"(838, 839)",0.01594,0.01696,0.01825,0.00166
1109,"(839, 241)",0.01594,0.01696,0.01793,0.00166
1110,"(241, 240)",0.01731,0.01954,0.0183,0.00332
1111,"(240, 239)",0.01259,0.01385,0.01798,0.00166
1112,"(239, 238)",0.01419,0.0167,0.01822,0.00332
1113,"(238, 231)",0.01218,0.01338,0.0179,0.00166
1114,"(231, 232)",0.01704,0.01909,0.01819,0.00332
1115,"(230, 234)",0.01537,0.01698,0.01791,0.00166
1116,"(234, 235)",0.01738,0.0203,0.01819,0.00332
1117,"(235, 236)",0.01578,0.01745,0.01787,0.00166
1118,"(236, 237)",0.0205,0.02314,0.01822,0.00332
1119,"(237, 840)",0.01913,0.02056,0.0179,0.00166
1120,"(840, 841)",0.01913,0.02056,0.01759,0.00166
1121,"(841, 243)",0.01913,0.02056,0.01728,0.00166
1122,"(230, 231)",0.00486,0.00488,0.01791,0.00166
1123,"(232, 233)",0.00189,0.00234,0.01787,0.00166
1124,"(235, 239)",0.0016,0.00202,0.01787,0.00166
1125,"(238, 234)",0.00201,0.00249,0.01789,0.00166
1126,"(237, 241)",0.00138,0.00175,0.01789,0.00166
1127,"(240, 236)",0.00473,0.00486,0.01797,0.00166
1128,"(242, 243)",0.00875,0.00927,0.01859,0.00166
1129,"(831, 286)",0.03543,0.03264,0.01884,0.00166
1130,"(286, 287)",0.03654,0.03483,0.0197,0.00332
1131,"(287, 833)",0.01462,0.01475,0.01932,0.00166
1132,"(833, 835)",0.01462,0.01475,0.01896,0.00166
1133,"(835, 292)",0.01462,0.01475,0.01861,0.00166
1134,"(292, 837)",0.02469,0.02706,0.0193,0.00249
1135,"(837, 242)",0.02469,0.02706,0.01894,0.00249
1136,"(243, 244)",0.02787,0.03065,0.01856,0.00332
1137,"(244, 291)",0.01077,0.01094,0.01822,0.00249
1138,"(291, 290)",0.0104,0.01078,0.01916,0.00249
1139,"(290, 836)",0.01738,0.01809,0.0191,0.00249
1140,"(836, 834)",0.01738,0.01809,0.01875,0.00166
1141,"(834, 288)",0.01738,0.01809,0.01841,0.00166
1142,"(288, 285)",0.0393,0.03817,0.01918,0.00332
1143,"(285, 832)",0.03819,0.03598,0.01883,0.00166
1144,"(259, 260)",0.02847,0.03409,0.02197,0.00332
1145,"(260, 255)",0.02493,0.02887,0.0215,0.00166
1146,"(255, 256)",0.02536,0.03025,0.02124,0.00332
1147,"(256, 251)",0.02183,0.02505,0.0208,0.00166
1148,"(251, 252)",0.02227,0.02645,0.02056,0.00332
1149,"(252, 247)",0.01889,0.02142,0.02014,0.00166
1150,"(247, 248)",0.01977,0.02332,0.01993,0.00332
1151,"(248, 289)",0.01668,0.01862,0.01954,0.00249
1152,"(289, 291)",0.0097,0.01131,0.01917,0.00249
1153,"(291, 292)",0.01007,0.01148,0.01916,0.00249
1154,"(289, 290)",0.00698,0.00648,0.01917,0.00166
1155,"(244, 842)",0.01711,0.01888,0.01822,0.00166
1156,"(842, 246)",0.01711,0.01888,0.0179,0.00166
1157,"(246, 245)",0.0202,0.02358,0.01939,0.00332
1158,"(245, 250)",0.01932,0.02167,0.01902,0.00166
1159,"(250, 249)",0.0227,0.0267,0.01993,0.00332
1160,"(249, 254)",0.02226,0.02531,0.01954,0.00166
1161,"(254, 253)",0.02579,0.03051,0.02056,0.00332
1162,"(253, 258)",0.02536,0.02912,0.02014,0.00166
1163,"(258, 257)",0.0289,0.03434,0.02124,0.00332
1164,"(248, 246)",0.00309,0.00387,0.01954,0.00166
1165,"(245, 247)",0.00088,0.00108,0.01902,0.00166
1166,"(252, 250)",0.00338,0.0042,0.02014,0.00166
1167,"(249, 251)",0.00044,0.00057,0.01954,0.00166
1168,"(256, 254)",0.00353,0.00437,0.0208,0.00166
1169,"(253, 255)",0.00043,0.00056,0.02014,0.00166
1170,"(260, 258)",0.00354,0.00439,0.0215,0.00166
1171,"(257, 259)",0.00041,0.00054,0.0208,0.00166
1172,"(188, 887)",0.04121,0.04809,0.02588,0.00249
1173,"(887, 886)",0.04121,0.04809,0.02523,0.00166
1174,"(886, 270)",0.04121,0.04809,0.02462,0.00166
1175,"(270, 269)",0.0416,0.04944,0.02448,0.00332
1176,"(269, 268)",0.03443,0.04051,0.02389,0.00166
1177,"(268, 266)",0.03481,0.04185,0.02358,0.00332
1178,"(266, 263)",0.03123,0.0366,0.02304,0.00166
1179,"(263, 264)",0.03162,0.03795,0.02275,0.00332
1180,"(264, 259)",0.02806,0.03272,0.02225,0.00166
1181,"(257, 262)",0.02849,0.03297,0.0208,0.00166
1182,"(262, 261)",0.03205,0.03821,0.02197,0.00332
1183,"(261, 265)",0.03166,0.03686,0.0215,0.00166
1184,"(265, 267)",0.03524,0.04211,0.02275,0.00332
1185,"(267, 271)",0.03486,0.04077,0.02225,0.00166
1186,"(271, 272)",0.04202,0.0497,0.02358,0.00332
1187,"(272, 888)",0.04164,0.04835,0.02304,0.00166
1188,"(888, 299)",0.04164,0.04835,0.02253,0.00249
1189,"(299, 189)",0.03009,0.0343,0.02204,0.00249
1190,"(299, 190)",0.01155,0.01322,0.02204,0.00166
1191,"(269, 271)",0.00716,0.0081,0.02389,0.00166
1192,"(272, 270)",0.00038,0.00052,0.02304,0.00166
1193,"(266, 265)",0.00358,0.00442,0.02304,0.00166
1194,"(267, 268)",0.00038,0.00051,0.02224,0.00166
1195,"(264, 262)",0.00356,0.0044,0.02224,0.00166
1196,"(261, 263)",0.00039,0.00052,0.0215,0.00166
1197,"(826, 827)",0.03543,0.03264,0.02034,0.00166
1198,"(827, 284)",0.03543,0.03264,0.01994,0.00166
1199,"(284, 830)",0.03543,0.03264,0.01956,0.00166
1200,"(830, 831)",0.03543,0.03264,0.0192,0.00166
1201,"(832, 829)",0.03819,0.03598,0.01849,0.00166
1202,"(829, 283)",0.03819,0.03598,0.01816,0.00166
1203,"(283, 828)",0.03819,0.03598,0.01785,0.00166
1204,"(828, 825)",0.03819,0.03598,0.01754,0.00166
1205,"(285, 286)",0.00111,0.00135,0.01882,0.00166
1206,"(287, 288)",0.02193,0.01925,0.01932,0.00166
