Nodo,BC,CC,DC,DiBC,DiCC,DiDC
0,0.00039580122711996356,0.022457570193900857,0.0019940179461615153,0.023364371290652334,0.020802223328355733,0.0019940179461615153
1,0.010866601356624692,0.022848941841128095,0.002991026919242273,0.023364371290652334,0.021242799051169096,0.002991026919242273
2,0.024081687998662088,0.023361982624088697,0.003988035892323031,0.029154161410834552,0.021616379310344828,0.003988035892323031
3,0.003014504906312123,0.022952995560437547,0.002991026919242273,0.023364371290652334,0.020379551365409622,0.002991026919242273
4,0.04615364511392838,0.026697543187202216,0.003988035892323031,0.07001300300220915,0.024483718205341013,0.003988035892323031
5,0.06268428832876237,0.02729623077969792,0.003988035892323031,0.07885152640169038,0.0246691917949727,0.003988035892323031
6,0.014377358300044982,0.026164762351959095,0.002991026919242273,0.06422321288202684,0.02395738785649453,0.002991026919242273
7,0.016131570963704777,0.026739536123700346,0.002991026919242273,0.06422321288202684,0.023398497643820276,0.002991026919242273
8,0.02112934644854932,0.02720368863574722,0.002991026919242273,0.03024978386767287,0.024678296385601456,0.002991026919242273
9,0.03928848728358887,0.027825556233701382,0.003988035892323031,0.05170988685430377,0.023463085992327125,0.003988035892323031
10,0.012532735095178285,0.026819616022247177,0.0019940179461615153,0.03024978386767287,0.024093780777823152,0.0019940179461615153
11,0.027131064630115404,0.027848733896046203,0.002991026919242273,0.03908830726715396,0.021535620732597585,0.002991026919242273
12,0.028049506803956344,0.023842917251051893,0.003988035892323031,0.029738900871759802,0.020848056537102474,0.003988035892323031
13,0.014389964766945472,0.02369421936642177,0.003988035892323031,0.0301270449851651,0.021699154100772344,0.003988035892323031
14,0.005846897948584097,0.02316664741887054,0.002991026919242273,0.023949110751577574,0.02126667090727901,0.002991026919242273
15,0.013186664865433883,0.023308777393042227,0.002991026919242273,0.023949110751577574,0.020825114714614953,0.002991026919242273
16,0.0028233904403361263,0.022650798310787923,0.002991026919242273,0.012417338801957403,0.020229115404783993,0.002991026919242273
17,0.008004031933730796,0.023154881455317775,0.003988035892323031,0.01859527303554504,0.020768625502132772,0.003988035892323031
18,0.0026364262756468702,0.022804265284314396,0.002991026919242273,0.012417338801957403,0.02107939977302341,0.002991026919242273
19,0.00023964557834239928,0.022315171201637483,0.0019940179461615153,0.012417338801957403,0.02064550656621794,0.0019940179461615153
20,0.023336695189471547,0.026427423392090216,0.003988035892323031,0.027471643618711395,0.023230498425050955,0.003988035892323031
21,0.027871470751229435,0.02701392442565111,0.003988035892323031,0.03197305465441184,0.023846885401806944,0.003988035892323031
22,0.01372046728410851,0.026537901838867575,0.002991026919242273,0.021293709385123736,0.02421769364496813,0.002991026919242273
23,0.013685468276441555,0.025971671974934617,0.002991026919242273,0.021293709385123736,0.02364673708034704,0.002991026919242273
24,0.04987460424280898,0.02732746641963872,0.003988035892323031,0.04966475916798576,0.024003829125284194,0.003988035892323031
25,0.06260411598099665,0.02795507121157223,0.003988035892323031,0.07112486215461687,0.024489696259400333,0.003988035892323031
26,0.0425861254334091,0.02775087845502587,0.003988035892323031,0.05455431431709167,0.025014340224954485,0.003988035892323031
27,0.03303155604410121,0.027132307192901776,0.003988035892323031,0.05005290328139159,0.024477145715889402,0.003988035892323031
28,0.05972384270510875,0.03015906425714887,0.002991026919242273,0.08603592321599979,0.026111631781734874,0.002991026919242273
29,0.08349427163302407,0.030775367432726828,0.002991026919242273,0.08603592321599979,0.025449101796407185,0.002991026919242273
30,0.059735530959944,0.030528077918125094,0.003988035892323031,0.0602549551530451,0.026549843824448093,0.003988035892323031
31,0.06916547404932681,0.029921541720115748,0.003988035892323031,0.06946537537847443,0.026475556963361842,0.003988035892323031
32,0.06355152230790943,0.029261603991014382,0.003988035892323031,0.07266684880251381,0.025445873607834183,0.003988035892323031
33,0.07451923250856543,0.029841420963375085,0.003988035892323031,0.0634564285770843,0.026155210180452696,0.003988035892323031
34,0.039803477671251176,0.029261603991014382,0.003988035892323031,0.06591932085570928,0.026366982124079917,0.003988035892323031
35,0.030415301476198017,0.028703889190968147,0.003988035892323031,0.061987503533225706,0.025789365422194795,0.003988035892323031
36,0.005743976579824103,0.026707495673012914,0.002991026919242273,0.012202912221419573,0.023105275282193045,0.002991026919242273
37,0.01697358425032343,0.027189677139526688,0.003988035892323031,0.01613472954390322,0.024651002752654347,0.003988035892323031
38,0.006552140185991335,0.026547735634313546,0.002991026919242273,0.012202912221419573,0.024221202608065685,0.002991026919242273
39,0.001085357516591852,0.02608786121153796,0.0019940179461615153,0.012202912221419573,0.02365008252770573,0.0019940179461615153
40,0.01263982714421151,0.027544351073762838,0.002991026919242273,0.024463038031613742,0.0244371893577624,0.002991026919242273
41,0.015067035245137183,0.028009718227261303,0.002991026919242273,0.024463038031613742,0.023855960422414613,0.002991026919242273
42,0.015638084184071158,0.027328955614288438,0.003988035892323031,0.025275636828702187,0.025160545855910096,0.003988035892323031
43,0.014894155668730725,0.02688575564252399,0.003988035892323031,0.020531220709130094,0.02457851401685944,0.003988035892323031
44,0.003370563168630977,0.025362227223303918,0.002991026919242273,0.00990773521086773,0.022271072031263876,0.002991026919242273
