,Unnamed: 0.1,Unnamed: 0,Nodo,Conections,DiBC,DiCC,DiDC,BC,CC,DC,state RW,state_RW_UL,state_RWM,state_RWM_UL,MaxOcupation,mean_state_RW,mean_state_RW_lim,mean_state_RWM,mean_state_RWM_lim
0,0,0,0,"(0, 3)",0.0170933394342937,0.0568335588633288,0.0059523809523809,0.0054283356567423,0.0666666666666666,0.0059523809523809,4,8,2,5,14,44.19222,6.511904124979937,1.828385228095583,7.495303319486546
1,1,1,1,"(3, 6)",0.013113251706691,0.0538174052322477,0.0039682539682539,0.0075373994123809,0.0691452874193991,0.0039682539682539,2,1,0,0,182,22.1219,3.2949547910759187,0.3944001930967897,7.37869091725609
2,2,2,2,"(6, 7)",0.043332217920403,0.0622222222222222,0.0079365079365079,0.0202242647539408,0.0737920937042459,0.0079365079365079,11,14,1,20,22,42.78712,12.735594671232144,2.572371067664333,17.04427229519853
3,3,3,3,"(3, 2)",0.001992016157026,0.0537944284341978,0.0059523809523809,0.0024888487057076,0.0664819944598338,0.0059523809523809,6,2,0,1,6,22.0947,4.066449093146434,0.4043768605680264,1.7958534485984805
4,4,4,4,"(2, 12)",0.022312402981957,0.0622375895282785,0.0079365079365079,0.0262843582402091,0.0699417152373022,0.0079365079365079,10,8,2,197,197,21.38684,16.742710395377454,0.3784697079411054,167.55162606189887
5,5,5,5,"(12, 13)",0.0139449161042813,0.060236643958408,0.0079365079365079,0.0164273101876762,0.067370672370004,0.0079365079365079,8,8,0,7,8,22.1173,7.70381467016211,0.4093651943036447,6.725122562778339
6,6,6,6,"(13, 17)",0.0138152049531984,0.0610391183238464,0.0079365079365079,0.0126498054642463,0.0668080593849416,0.0079365079365079,53,52,0,54,54,22.19642,52.73880477235033,0.3931128811650173,52.69275101979717
7,7,7,7,"(16, 14)",0.004376424747058,0.0521415270018622,0.0039682539682539,0.0020300305464918,0.0611427878199684,0.0039682539682539,7,11,0,17,56,23.36658,9.816435717725108,0.4112157052055676,16.287975749410577
8,8,8,8,"(14, 15)",0.0155287098272045,0.0576791027695124,0.0079365079365079,0.0066967308881375,0.0632133450395083,0.0079365079365079,7,7,0,6,7,45.57018,6.503022845219625,2.4891785340735377,6.088207776655065
9,9,9,9,"(15, 1)",0.0075653223516046,0.054574986464537,0.0039682539682539,0.003406670852111,0.063237139272271,0.0039682539682539,12,26,0,194,197,22.79794,20.82686854635921,0.4157212969667712,183.16844429474943
