,conection,lanes,Largo,/2023-03-29_07-30.png,/2023-03-30_08-30.png,/2023-03-31_09-30.png,/2023-04-02_06-45.png,/2023-04-03_08-00.png,/2023-04-04_16-45.png,/2023-04-05_17-45.png,/2023-04-06_18-45.png,/2023-04-07_21-15.png,/2023-04-08_22-45.png,/2023-04-10_01-45.png,/2023-04-11_02-45.png,/2023-04-12_07-45.png,/2023-04-13_08-45.png,/2023-04-14_14-45.png,/2023-04-16_09-15.png,/2023-04-17_10-30.png,/2023-04-18_12-30.png,/2023-04-22_14-00.png,/2023-04-23_15-45.png,/2023-04-24_16-45.png,/2023-04-25_18-15.png,/2023-04-26_19-15.png,/2023-05-02_11-00.png,/2023-05-05_16-00.png,/2023-05-10_04-45.png,/2023-05-11_05-45.png,/2023-05-23_14-30.png,/2023-05-25_05-15.png,/2023-05-31_16-30.png
969,"(751, 750)",1,9.888991455226796,95,127,31,31,95,159,95,159,31,31,31,0,31,31,95,31,95,31,31,31,127,159,127,31,159,0,0,159,0,159
970,"(158, 763)",1,10.10335474308634,42,42,31,31,95,95,42,42,42,42,0,0,42,31,63,0,42,31,31,31,31,31,42,63,63,0,0,31,0,42
971,"(763, 761)",1,7.990891211861179,63,63,63,42,42,63,63,63,63,63,0,0,63,63,42,0,63,42,42,42,42,42,63,95,31,0,0,63,0,63
972,"(761, 762)",1,9.149736759525393,63,63,127,63,63,127,63,63,63,63,0,0,63,127,63,0,63,63,63,63,63,63,63,191,63,0,0,127,0,63
973,"(762, 165)",1,10.055370643893813,148,84,42,63,106,84,84,63,63,63,42,0,84,106,106,42,31,42,42,42,42,84,63,63,63,31,31,106,31,106
974,"(165, 166)",1,3.944611216832232,255,127,63,127,191,63,63,63,63,63,63,0,63,191,127,63,0,63,63,63,63,63,63,63,127,63,63,191,63,127
975,"(167, 164)",1,3.9487095153057945,127,63,63,95,95,127,159,95,63,63,63,31,63,127,127,63,63,31,31,63,127,95,31,63,159,31,63,95,31,63
976,"(164, 982)",1,10.364923592847266,255,127,63,127,191,63,63,63,63,63,63,63,63,191,127,63,63,63,63,63,63,63,63,63,127,63,63,191,63,127
977,"(982, 983)",1,8.91707883940124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
978,"(983, 984)",1,8.39383842005352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
979,"(984, 159)",1,9.695706761134328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,"(159, 156)",1,4.578457320029215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981,"(161, 162)",1,4.961625666864536,0,0,63,0,0,0,0,0,63,63,0,0,0,0,0,63,0,0,63,63,0,0,0,0,0,0,0,0,0,0
982,"(162, 945)",1,8.05438978037555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
983,"(945, 946)",1,6.629239179173244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
984,"(946, 947)",1,10.406115647725352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985,"(947, 169)",1,11.36400523727339,127,95,95,31,0,0,0,0,31,31,31,0,0,127,0,31,0,31,0,31,0,0,0,0,0,31,31,95,31,0
986,"(169, 170)",1,4.496469747730316,191,127,127,63,31,95,63,31,63,63,159,0,31,159,31,63,31,63,31,63,63,31,31,63,95,63,63,191,63,95
987,"(171, 168)",1,4.263829450256557,191,127,127,63,127,191,127,127,63,63,159,0,95,159,127,63,63,31,95,63,127,95,95,159,191,31,63,95,31,191
988,"(168, 979)",1,11.471550974621632,255,191,191,63,191,191,127,191,63,63,63,0,127,255,191,63,0,63,127,63,127,127,127,191,191,63,63,191,63,191
989,"(979, 980)",1,9.91999086006336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,"(980, 981)",1,7.2503396127258215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991,"(981, 163)",1,8.155361606724629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
992,"(163, 160)",1,4.721079112654332,31,31,31,0,0,31,31,0,31,31,0,0,0,31,0,31,0,0,31,31,0,31,0,31,63,0,0,0,0,0
993,"(700, 701)",2,9.078220200437512,42,42,42,42,42,42,31,42,42,42,42,31,31,42,42,42,63,42,42,42,31,42,42,31,42,0,42,63,42,42
994,"(701, 126)",2,7.360486657086282,127,95,127,95,127,95,31,127,63,63,63,31,31,63,95,95,63,95,95,127,31,127,127,31,127,0,95,63,95,63
