,conection,lanes,Largo,/2023-03-29_07-30.png,/2023-03-30_08-30.png,/2023-03-31_09-30.png,/2023-04-02_06-45.png,/2023-04-03_08-00.png,/2023-04-04_16-45.png,/2023-04-05_17-45.png,/2023-04-06_18-45.png,/2023-04-07_21-15.png,/2023-04-08_22-45.png,/2023-04-10_01-45.png,/2023-04-11_02-45.png,/2023-04-12_07-45.png,/2023-04-13_08-45.png,/2023-04-14_14-45.png,/2023-04-16_09-15.png,/2023-04-17_10-30.png,/2023-04-18_12-30.png,/2023-04-22_14-00.png,/2023-04-23_15-45.png,/2023-04-24_16-45.png,/2023-04-25_18-15.png,/2023-04-26_19-15.png,/2023-05-02_11-00.png,/2023-05-05_16-00.png,/2023-05-10_04-45.png,/2023-05-11_05-45.png,/2023-05-23_14-30.png,/2023-05-25_05-15.png,/2023-05-31_16-30.png
1076,"(855, 216)",2,8.531656860953442,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,105
1077,"(216, 217)",2,3.9271045474762225,42,42,42,42,42,42,42,42,42,42,31,42,42,63,42,42,42,42,42,42,42,42,42,42,42,0,0,42,0,105
1078,"(217, 857)",2,11.55675305182809,63,63,63,63,63,63,63,63,63,63,63,63,63,105,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1079,"(857, 859)",2,11.678698193009657,63,63,63,63,63,105,63,63,63,63,63,63,63,84,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,127
1080,"(203, 204)",1,5.044069136910437,31,31,63,31,63,63,127,95,63,63,63,63,63,31,63,63,63,31,63,63,95,63,63,63,95,0,63,95,0,63
1081,"(205, 202)",1,5.044069136910454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,"(207, 208)",1,4.764730584941644,0,0,63,0,0,0,0,63,63,63,0,63,0,0,0,63,63,0,63,0,63,63,63,63,0,0,63,63,0,0
1083,"(209, 206)",1,4.618730300813313,31,31,31,31,31,31,63,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,63,31,0,31,31,0,63
1084,"(211, 212)",1,4.8984038702909185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1085,"(213, 210)",1,5.067295978725257,95,159,63,95,159,127,31,63,63,63,63,127,127,127,127,63,95,95,127,95,127,95,95,127,63,0,95,95,0,127
1086,"(215, 216)",1,3.917124596024969,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,63,63,0,95
1087,"(217, 214)",1,4.485448883698589,63,63,63,63,63,63,63,63,63,63,63,63,63,127,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1088,"(219, 220)",1,3.800471984044045,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,63,63,0,63
1089,"(221, 218)",1,4.357076865390163,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,31,63,0,63
1090,"(224, 225)",1,6.209297489814823,31,31,31,31,31,31,31,31,31,31,0,31,31,31,31,31,31,31,31,31,31,31,31,31,31,0,0,31,0,31
1091,"(222, 223)",1,5.43262872016877,63,63,63,63,63,95,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1092,"(849, 227)",2,8.799367847426604,148,127,63,63,191,148,127,63,63,63,0,63,127,63,63,63,105,105,105,84,105,105,105,105,105,0,63,105,0,105
1093,"(227, 228)",2,6.256397766463086,105,148,127,63,105,105,159,63,63,95,0,63,127,63,63,95,63,63,105,127,63,84,63,63,95,0,31,84,0,159
1094,"(229, 226)",2,6.026960434192807,31,31,31,31,31,31,31,31,31,31,0,31,31,31,63,31,31,31,31,31,31,31,31,63,31,0,31,31,0,31
1095,"(226, 850)",2,8.944539888449007,148,105,63,63,105,148,105,105,63,63,0,63,105,63,127,63,105,105,105,63,105,148,63,127,148,0,63,63,0,105
1096,"(226, 227)",2,5.76811373504142,63,84,63,63,63,63,84,63,63,63,0,63,84,63,105,63,63,63,63,84,63,63,63,105,63,0,63,63,0,63
1097,"(227, 846)",2,8.82164707964051,63,127,63,63,63,63,127,63,63,63,0,63,127,63,63,63,63,63,63,127,63,63,63,63,63,0,0,63,0,63
1098,"(846, 847)",2,10.448494628410383,63,105,63,63,63,63,105,63,63,63,0,63,105,63,63,63,63,63,63,105,63,63,63,63,63,0,0,63,0,63
1099,"(847, 848)",2,10.029865795556582,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1100,"(848, 233)",2,9.738143130451318,84,63,63,63,84,63,63,63,63,63,0,63,63,63,84,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1101,"(233, 230)",2,3.4669353779362257,127,63,63,63,127,63,63,63,63,63,0,63,63,63,127,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1102,"(232, 843)",2,9.901272454145584,63,63,84,63,63,63,63,63,63,63,0,0,63,63,84,63,63,63,63,63,63,63,63,63,63,0,0,63,0,84
1103,"(843, 844)",2,11.802903117432352,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1104,"(844, 845)",2,8.91861768144857,63,105,105,63,63,63,63,105,63,63,0,0,63,105,95,105,63,105,105,95,105,63,63,63,63,0,0,63,0,95
1105,"(845, 228)",2,8.440356287017032,42,127,127,42,42,42,0,127,42,63,0,0,42,127,0,127,42,127,127,0,127,42,0,42,63,0,0,42,0,0
1106,"(228, 229)",2,4.554726325090039,63,127,0,63,63,63,0,0,63,127,0,0,63,0,0,0,63,0,127,0,0,63,0,63,127,0,0,63,0,0
1107,"(242, 838)",2,9.843081831789743,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1108,"(838, 839)",2,8.830232242078461,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1109,"(839, 241)",2,9.693798503745684,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1110,"(241, 240)",2,2.2296544203621806,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1111,"(240, 239)",2,4.132720588381806,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1112,"(239, 238)",2,1.8624993207763036,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1113,"(238, 231)",2,12.753935120438241,63,63,84,63,63,63,63,63,63,63,0,0,63,63,84,63,63,63,63,63,63,63,63,63,63,0,0,63,0,84
1114,"(231, 232)",2,3.340350088965415,63,63,127,63,63,63,63,63,63,63,0,0,63,63,127,63,63,63,63,63,63,63,63,63,63,0,0,63,0,127
1115,"(230, 234)",2,12.450623113551154,127,63,63,63,127,63,63,63,63,63,0,63,63,63,127,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1116,"(234, 235)",2,1.8144267124011435,95,63,63,63,95,63,63,63,63,63,0,63,63,63,95,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1117,"(235, 236)",2,3.9579418969832965,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1118,"(236, 237)",2,1.862499320776316,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1119,"(237, 840)",2,9.646960007016775,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1120,"(840, 841)",2,9.202709362318602,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1121,"(841, 243)",2,10.316553150594903,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1122,"(230, 231)",1,5.443280137203461,95,63,95,63,95,63,63,63,63,63,0,63,63,63,127,63,63,63,63,63,63,63,63,63,63,0,0,63,0,95
1123,"(232, 233)",1,5.359422226120405,95,63,95,63,95,63,63,63,63,63,0,31,63,63,127,63,63,63,63,63,63,63,63,63,63,0,0,63,0,95
1124,"(235, 239)",1,5.940168369586125,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1125,"(238, 234)",1,6.144935492914124,95,63,31,63,95,63,63,63,63,63,0,31,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,31
1126,"(237, 241)",1,6.514933382647704,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1127,"(240, 236)",1,6.195069830142017,63,63,63,63,63,63,63,63,63,63,0,31,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1128,"(242, 243)",1,7.915883793966608,63,63,63,63,63,63,63,63,63,63,0,31,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1129,"(831, 286)",2,7.497931738973627,63,63,63,63,63,63,63,63,0,63,0,0,63,95,63,63,63,63,63,63,63,63,63,63,127,0,0,63,0,63
1130,"(286, 287)",2,4.596087178553805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,"(287, 833)",2,15.412512589838366,31,0,42,42,0,31,42,42,0,42,0,0,0,0,0,42,31,42,42,42,0,42,42,0,0,0,0,42,0,42
1132,"(833, 835)",2,14.691676320918768,42,31,63,63,127,42,63,63,0,63,0,0,42,42,42,63,42,63,63,63,42,63,63,42,42,0,0,63,0,63
1133,"(835, 292)",2,18.650770925356905,84,84,63,63,148,84,63,63,0,63,0,0,84,84,84,63,84,63,63,63,63,63,63,63,84,0,0,63,0,63
1134,"(292, 837)",2,11.50181774163486,105,105,63,63,105,105,63,63,31,63,0,0,105,105,105,63,105,63,63,63,63,63,63,63,105,0,0,63,0,63
1135,"(837, 242)",2,11.048731965288782,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1136,"(243, 244)",2,12.218650888059617,63,63,63,63,84,63,63,63,63,63,0,63,63,63,63,63,63,105,63,63,105,105,63,105,105,0,0,63,0,105
1137,"(244, 291)",2,9.182679534852252,63,63,63,31,127,63,63,63,31,63,0,63,63,63,63,63,95,127,63,63,127,127,63,127,127,0,0,63,0,127
1138,"(291, 290)",2,6.356424403719494,63,63,63,63,127,63,63,63,63,63,0,127,63,63,63,63,127,127,63,63,127,127,63,127,127,0,0,63,0,127
1139,"(290, 836)",2,9.537659174300533,63,63,63,0,127,63,63,63,63,63,0,84,63,63,63,63,84,84,63,63,84,84,63,84,84,0,0,63,0,84
1140,"(836, 834)",2,14.425326108522789,63,63,63,31,105,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1141,"(834, 288)",2,16.259143386248184,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1142,"(288, 285)",2,5.3142109386569505,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,105,63,63,105,63,63,63,63,0,0,63,0,63
1143,"(285, 832)",2,6.432894547709909,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,105,63,63,105,63,63,63,63,0,0,63,0,63
1144,"(259, 260)",2,3.2600092701093297,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,63,63,63,63,63,63,63,127,63,63,0,0,127,0,63
1145,"(260, 255)",2,13.245139845554931,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,63,63,63,63,63,63,63,95,63,63,0,0,95,0,63
1146,"(255, 256)",2,2.9317106015427563,31,31,31,31,31,31,31,31,31,31,0,0,31,31,31,31,31,31,31,31,31,31,31,31,31,0,0,31,0,31
1147,"(256, 251)",2,6.526792587282235,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1148,"(251, 252)",2,3.064366894592844,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,105,63,63,63,105,63,63,63,63,63,0,0,63,0,63
1149,"(252, 247)",2,12.9669735573915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,127,0,0,0,0,0,0,0,0,0,0
1150,"(247, 248)",2,4.1300465534280075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,"(248, 289)",2,4.240175627845775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,"(289, 291)",2,5.347586271199823,31,31,31,42,63,31,31,31,31,31,0,63,31,31,31,31,63,63,31,31,63,63,31,63,63,0,0,31,0,63
1153,"(291, 292)",2,4.748408308307269,95,95,63,63,127,95,63,63,63,63,0,127,95,95,95,63,127,95,63,63,95,95,63,95,127,0,0,63,0,95
1154,"(289, 290)",2,4.553660850478069,42,42,42,0,84,42,42,42,42,42,0,84,42,42,42,42,84,84,42,42,84,84,42,63,63,0,0,42,0,63
1155,"(244, 842)",2,7.917279278119122,63,95,63,0,127,63,63,63,0,63,0,0,63,63,63,63,63,127,63,95,127,127,63,127,127,0,0,63,0,127
1156,"(842, 246)",2,8.509117436884667,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0
1157,"(246, 245)",2,3.3237725668417504,31,31,31,31,31,31,31,31,31,63,0,31,31,31,31,31,31,31,31,127,31,31,31,31,31,0,0,31,0,31
1158,"(245, 250)",2,14.22714436568777,42,42,42,42,42,42,42,42,42,84,0,42,42,42,42,42,42,42,42,84,42,42,42,42,42,0,0,42,0,42
1159,"(250, 249)",2,3.0643668945928,63,63,63,105,63,63,63,63,63,169,0,63,63,63,63,63,63,105,63,127,63,63,63,63,95,0,0,63,0,63
1160,"(249, 254)",2,5.114723348547895,42,42,42,127,42,42,42,42,42,191,0,0,42,42,42,42,42,127,42,42,42,42,42,42,84,0,0,42,0,42
1161,"(254, 253)",2,2.8861371958678004,63,63,63,127,63,63,63,63,63,191,0,0,63,63,63,63,63,127,63,63,63,63,63,63,127,0,0,63,0,63
1162,"(253, 258)",2,12.404397593264292,42,42,42,63,42,42,42,42,42,63,0,0,42,84,42,42,42,63,42,42,42,42,42,42,95,0,0,42,0,63
1163,"(258, 257)",2,3.369984135010229,63,63,63,63,63,63,63,63,63,63,0,0,63,191,63,63,63,63,63,63,63,63,63,63,191,0,0,63,0,127
1164,"(248, 246)",1,8.38882269241004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0
1165,"(245, 247)",1,8.207766805654131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1166,"(252, 250)",1,7.977054160420275,31,31,31,31,31,31,31,31,31,63,0,31,31,31,31,95,31,31,31,127,31,31,31,31,31,0,0,31,0,31
1167,"(249, 251)",1,7.977054160420172,31,31,31,95,31,31,31,31,31,127,0,0,31,31,31,31,31,95,31,31,31,31,31,31,31,0,0,31,0,31
1168,"(256, 254)",1,8.502623413625491,63,63,63,95,63,63,63,63,63,127,0,0,63,63,63,63,63,95,63,63,63,63,63,63,95,0,0,63,0,63
1169,"(253, 255)",1,8.710567333680647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,"(260, 258)",1,9.048966998059962,63,63,63,63,63,63,63,63,63,63,0,0,63,127,63,63,63,63,63,63,63,63,95,63,127,0,0,95,0,95
1171,"(257, 259)",1,8.739689160495654,63,63,63,63,63,63,63,63,63,63,0,0,63,127,63,63,63,63,63,63,63,63,95,63,127,0,0,95,0,95
1172,"(188, 887)",2,10.568689061915101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173,"(887, 886)",2,9.919990860063278,95,95,31,31,63,63,63,31,31,31,0,0,31,63,31,31,31,31,31,31,31,63,31,31,31,0,0,95,0,31
1174,"(886, 270)",2,9.993682658952004,63,63,31,63,63,63,31,31,31,31,0,0,95,63,31,63,63,63,63,63,63,63,63,63,63,0,0,95,0,63
1175,"(270, 269)",2,2.312352181832901,63,63,31,63,63,63,31,31,31,31,0,0,95,63,31,63,63,63,63,63,63,63,63,63,63,0,0,95,0,63
1176,"(269, 268)",2,5.255345867802189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1177,"(268, 266)",2,4.643775390404501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1178,"(266, 263)",2,16.925151210344186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179,"(263, 264)",2,2.972872560482847,42,42,42,42,42,42,42,42,42,42,0,0,42,42,42,42,42,42,42,42,42,42,84,42,42,0,0,63,0,42
1180,"(264, 259)",2,9.061167309651713,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,63,63,63,63,63,63,63,127,63,63,0,0,127,0,63
1181,"(257, 262)",2,9.425693932009283,63,63,63,63,63,63,63,63,63,63,0,0,63,191,63,63,63,63,63,63,63,63,63,63,191,0,0,63,0,127
1182,"(262, 261)",2,3.2600092701092467,31,31,31,31,31,63,31,31,31,31,0,0,31,0,31,31,31,31,31,31,31,31,31,31,127,0,0,63,0,127
1183,"(261, 265)",2,16.81842056211604,42,84,84,42,42,127,127,84,42,42,0,0,127,127,84,42,84,84,84,42,127,42,84,84,127,0,0,127,0,170
1184,"(265, 267)",2,4.434465701236171,63,84,84,63,63,191,148,127,63,63,0,0,105,148,127,105,127,127,84,105,148,105,84,127,148,0,0,148,0,212
1185,"(267, 271)",2,4.204276694241724,63,63,63,63,63,191,127,127,63,63,0,0,63,127,127,127,127,127,63,127,127,127,63,127,127,0,0,127,0,191
1186,"(271, 272)",2,3.1811125559618945,63,63,63,63,63,191,127,127,63,63,0,0,63,127,127,127,127,127,63,127,127,127,63,127,127,0,0,127,0,191
1187,"(272, 888)",2,10.126524302616252,42,42,42,42,42,84,63,63,42,42,0,0,42,63,63,63,84,84,42,63,84,63,42,84,63,0,0,63,0,127
1188,"(888, 299)",2,10.081258077540623,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,63,127,127,63,63,127,63,63,127,63,0,0,63,0,191
1189,"(299, 189)",2,4.907491384187633,63,63,63,0,95,63,63,0,0,0,0,0,95,95,63,0,0,63,0,63,95,95,0,0,0,0,0,63,0,0
1190,"(299, 190)",2,7.752303178664406,63,63,63,42,95,63,63,0,31,42,0,0,95,95,63,42,0,63,31,63,95,95,31,63,63,0,0,63,0,63
1191,"(269, 271)",1,8.411180650971646,31,31,31,31,31,95,63,63,31,31,0,0,31,63,63,63,63,63,31,63,63,63,31,63,63,0,0,63,0,95
1192,"(272, 270)",1,8.012980794325841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1193,"(266, 265)",1,9.308937007674333,31,63,63,31,31,95,95,63,31,31,0,0,95,95,63,31,63,63,63,31,95,31,63,63,95,0,0,95,0,127
1194,"(267, 268)",1,8.450491570781349,63,63,63,63,63,191,127,127,63,63,0,0,63,127,127,127,127,127,63,127,127,127,63,127,127,0,0,127,0,191
1195,"(264, 262)",1,8.241347531793679,63,63,63,63,63,63,63,63,63,63,0,0,63,63,63,63,63,63,63,63,63,63,127,63,63,0,0,127,0,63
1196,"(261, 263)",1,8.800154724400624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1197,"(826, 827)",2,12.394597026208949,31,31,31,31,31,31,31,31,0,31,0,0,31,31,84,31,31,31,31,31,31,31,31,31,31,0,0,31,0,31
1198,"(827, 284)",2,11.158624881881742,31,31,31,31,31,31,31,31,0,31,0,0,31,31,127,31,31,31,31,31,31,31,31,31,31,0,0,31,0,31
1199,"(284, 830)",2,12.50782217745985,31,0,31,31,31,31,31,31,0,31,0,0,31,0,0,31,31,31,31,31,63,31,31,0,0,0,0,31,0,31
1200,"(830, 831)",2,12.373187025437515,63,31,63,63,63,63,63,63,0,63,0,0,63,31,31,63,63,63,63,63,95,63,63,31,63,0,0,63,0,63
1201,"(832, 829)",2,13.362227149609687,63,63,63,0,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1202,"(829, 283)",2,12.311257356438048,63,63,63,0,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1203,"(283, 828)",2,10.49397927201122,63,63,63,0,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1204,"(828, 825)",2,10.852002905045664,63,63,63,0,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1205,"(285, 286)",1,5.587214230440683,63,63,63,63,63,63,63,63,63,63,0,63,63,95,63,63,63,95,63,63,95,63,63,63,95,0,0,63,0,63
1206,"(287, 288)",1,4.987636988850563,31,31,31,31,31,31,31,31,31,31,0,31,31,31,31,31,31,31,31,31,31,31,31,31,31,0,0,31,0,31
